12:30:01: 	Неизвестный пользователь: 	Системное сообщение	Ожидается авторизация пользователя
12:30:01: 	Пользователь-1: 	Системное сообщение	Авторизация успешна
12:30:02: 	Пользователь-1: 	Системное сообщение	Программный комплекс включен
12:31:12: 	Пользователь-1: 	Действие диспетчера	Выставлена нештатная ситуация
12:31:12: 	Пользователь-1: 	Действие оператора	Изменение настроек поезда: 6314 ШПАЛОПРОПИТКА - ВОЛГОГРАД: Путь:  -> 3приг; 
12:32:22: 	Пользователь-1: 	Действие оператора	Изменение настроек поезда: 6703 АЭРОПОРТ - ШПАЛОПРОПИТКА: Путь:  -> 2приг; 
12:32:35: 	Пользователь-1: 	Системное сообщение	Программный комплекс выключен
14:16:39: 	Неизвестный пользователь: 	Системное сообщение	Ожидается авторизация пользователя
14:16:39: 	Пользователь-1: 	Системное сообщение	Авторизация успешна
14:16:40: 	Пользователь-1: 	Системное сообщение	Программный комплекс включен
14:16:41: 	Пользователь-1: 	Действие программы	Поезд 6314 ШПАЛОПРОПИТКА-ВОЛГОГРАД 15.11.2018 12:57:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:00: 	Пользователь-1: 	Действие диспетчера	Выставлена нештатная ситуация
14:21:00: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:00: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:00: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:00: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:01: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:01: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:01: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:01: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:01: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:01: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:01: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:01: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:01: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:02: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:02: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:02: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:02: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:02: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:02: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:21:02: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
