07:28:29: 	Пользователь-1: 	Повагонная навигация	Принят состав поезда №302 ГРОЗНЫЙ ВОЛГОГРАД 25 ноября 2018 г.. Вагоны: 0 2 3 4 5 8. Нумерация: С головы
07:28:29: 	Пользователь-1: 	Повагонная навигация	Принят состав поезда №344 ЧЕЛЯБИНСК АДЛЕР 25 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
07:35:29: 	Пользователь-1: 	Повагонная навигация	Принят состав поезда №2 МОСКВА ВОЛГОГРАД 25 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 41 7 15 16 17 18 19. Нумерация: С головы
07:44:58: 	Пользователь-1: 	Повагонная навигация	Принят состав поезда №302 ГРОЗНЫЙ ВОЛГОГРАД 25 ноября 2018 г.. Вагоны: 0 2 3 4 5 8. Нумерация: С головы
07:44:58: 	Пользователь-1: 	Повагонная навигация	Принят состав поезда №2 МОСКВА ВОЛГОГРАД 25 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 41 7 15 16 17 18 19. Нумерация: С головы
07:44:58: 	Пользователь-1: 	Повагонная навигация	Принят состав поезда №344 ЧЕЛЯБИНСК АДЛЕР 25 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
07:46:35: 	Пользователь-1: 	Повагонная навигация	Принят состав поезда №302 ГРОЗНЫЙ ВОЛГОГРАД 25 ноября 2018 г.. Вагоны: 0 2 3 4 5 8. Нумерация: С головы
07:46:35: 	Пользователь-1: 	Повагонная навигация	Принят состав поезда №2 МОСКВА ВОЛГОГРАД 25 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 41 7 15 16 17 18 19. Нумерация: С головы
07:46:35: 	Пользователь-1: 	Повагонная навигация	Принят состав поезда №344 ЧЕЛЯБИНСК АДЛЕР 25 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
07:48:33: 	Пользователь-1: 	Повагонная навигация	Принят состав поезда №302 ГРОЗНЫЙ ВОЛГОГРАД 25 ноября 2018 г.. Вагоны: 0 2 3 4 5 8. Нумерация: С головы
07:48:33: 	Пользователь-1: 	Повагонная навигация	Принят состав поезда №2 МОСКВА ВОЛГОГРАД 25 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 41 7 15 16 17 18 19. Нумерация: С головы
07:48:33: 	Пользователь-1: 	Повагонная навигация	Принят состав поезда №344 ЧЕЛЯБИНСК АДЛЕР 25 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
07:50:07: 	Пользователь-1: 	Повагонная навигация	Принят состав поезда №302 ГРОЗНЫЙ ВОЛГОГРАД 25 ноября 2018 г.. Вагоны: 0 2 3 4 5 8. Нумерация: С головы
07:50:07: 	Пользователь-1: 	Повагонная навигация	Принят состав поезда №2 МОСКВА ВОЛГОГРАД 25 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 41 7 15 16 17 18 19. Нумерация: С головы
07:50:07: 	Пользователь-1: 	Повагонная навигация	Принят состав поезда №344 ЧЕЛЯБИНСК АДЛЕР 25 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
