08:43:17: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №17 Петрозаводск Москва 30 ноября 2018 г.. Вагоны: 0 1 4 5 6 7 41 8 9 10 11 12 15. Нумерация: С головы
08:43:17: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №751 С.Петербург Москва 30 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С хвоста
08:43:17: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №31 Хельсинки Москва 30 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 7 8 9 10 11. Нумерация: С головы
08:43:17: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №33 Таллинн Москва 30 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
08:49:32: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №17 Петрозаводск Москва 30 ноября 2018 г.. Вагоны: 0 1 4 5 6 7 41 8 9 10 11 12 15. Нумерация: С головы
08:49:32: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №751 С.Петербург Москва 30 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С хвоста
08:49:32: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №31 Хельсинки Москва 30 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 7 8 9 10 11. Нумерация: С головы
08:49:32: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №33 Таллинн Москва 30 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
08:53:48: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №17 Петрозаводск Москва 30 ноября 2018 г.. Вагоны: 0 1 4 5 6 7 41 8 9 10 11 12 15. Нумерация: С головы
08:53:48: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №751 С.Петербург Москва 30 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С хвоста
08:53:48: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №31 Хельсинки Москва 30 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 7 8 9 10 11. Нумерация: С головы
08:53:48: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №33 Таллинн Москва 30 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
09:05:03: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №31 Хельсинки Москва 30 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 7 8 9 10 11. Нумерация: С головы
09:05:03: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №33 Таллинн Москва 30 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
09:05:03: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №23 С.Петербург Москва 30 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 7 8 10 11. Нумерация: С головы
09:05:33: 	Тимошкина С.Я.: 	Повагонная навигация	Нумерация поезда №31 Хельсинки Москва 30 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 7 8 9 10 11. Нумерация: С головы локальная не соответствует нумерации из ЦИС
09:13:17: 	Тимошкина С.Я.: 	Повагонная навигация	Нумерация поезда №31 Хельсинки Москва 30 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 7 8 9 10 11. Нумерация: С головы локальная не соответствует нумерации из ЦИС
09:13:17: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №31 Хельсинки Москва 30 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 7 8 9 10 11. Нумерация: С головы
09:13:17: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №33 Таллинн Москва 30 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
09:13:17: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №23 С.Петербург Москва 30 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 7 8 10 11. Нумерация: С головы
09:13:47: 	Тимошкина С.Я.: 	Повагонная навигация	Нумерация поезда №31 Хельсинки Москва 30 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 7 8 9 10 11. Нумерация: С головы локальная не соответствует нумерации из ЦИС
09:16:14: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №31 Хельсинки Москва 30 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 7 8 9 10 11. Нумерация: С головы
09:16:14: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №33 Таллинн Москва 30 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
09:16:14: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №23 С.Петербург Москва 30 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 7 8 10 11. Нумерация: С головы
